component_index,n_atoms,n_edges,is_tree,n_B,n_N,n_degree_1,n_degree_2,n_degree_other,minimum_atom_id,maximum_atom_id,center_x_A,center_y_A,center_z_A,center_r_A,center_phi_rad,minimum_z_A,maximum_z_A,z_span_A
20,60,59,True,30,30,2,58,0,20,17012,-6.1009000000000055,69.73360000000001,5.447494307494102e-15,69.99997106977975,1.6580627969820425,-100.0,100.0,200.0
21,60,59,True,30,30,2,58,0,21,17013,-12.15539999999999,68.9364999999999,5.447494307494102e-15,69.99996272434711,1.7453297457264247,-100.0,100.0,200.0
22,60,59,True,30,30,2,58,0,22,17014,-18.117299999999993,67.61479999999993,5.447494307494102e-15,69.99998384521236,1.8325952860486476,-100.0,100.0,200.0
23,60,59,True,30,30,2,58,0,23,17015,-23.94139999999999,65.77849999999992,5.447494307494102e-15,70.0000121157846,1.9198619616728894,-100.0,100.0,200.0
24,60,59,True,30,30,2,58,0,24,17016,-29.583300000000005,63.441499999999934,5.447494307494102e-15,69.9999682938499,2.0071291927082835,-100.0,100.0,200.0
25,60,59,True,30,30,2,58,0,25,17017,-35.0,60.62179999999992,5.447494307494102e-15,70.00001882314027,2.0943949471425998,-100.0,100.0,200.0
26,60,59,True,30,30,2,58,0,26,17018,-40.1504,57.3406,5.447494307494102e-15,69.9999930608568,2.1816624968900036,-100.0,100.0,200.0
27,60,59,True,30,30,2,58,0,27,17019,-44.99510000000005,53.62309999999994,5.447494307494102e-15,69.99997055442236,2.2689277711582427,-100.0,100.0,200.0
28,60,59,True,30,30,2,58,0,28,17020,-49.49749999999996,49.49749999999996,5.447494307494102e-15,70.00003580356221,2.356194490192345,-100.0,100.0,200.0
29,60,59,True,30,30,2,58,0,29,17021,-53.62309999999994,44.99510000000005,5.447494307494102e-15,69.99997055442236,2.4434612092264474,-100.0,100.0,200.0
30,60,59,True,30,30,2,58,0,30,17022,-57.3406,40.1504,5.447494307494102e-15,69.9999930608568,2.5307264834946865,-100.0,100.0,200.0
31,60,59,True,30,30,2,58,0,31,17023,-60.62179999999992,35.0,5.447494307494102e-15,70.00001882314027,2.61799403324209,-100.0,100.0,200.0
32,60,59,True,30,30,2,58,0,32,17024,-63.441499999999934,29.583300000000005,5.447494307494102e-15,69.9999682938499,2.7052597876764066,-100.0,100.0,200.0
33,60,59,True,30,30,2,58,0,33,17025,-65.77849999999992,23.94139999999999,5.447494307494102e-15,70.0000121157846,2.7925270187118003,-100.0,100.0,200.0
34,60,59,True,30,30,2,58,0,34,17026,-67.61479999999993,18.117299999999993,5.447494307494102e-15,69.99998384521236,2.8797936943360423,-100.0,100.0,200.0
35,60,59,True,30,30,2,58,0,35,17027,-68.9364999999999,12.15539999999999,5.447494307494102e-15,69.99996272434711,2.967059234658265,-100.0,100.0,200.0
36,60,59,True,30,30,2,58,0,36,17028,-69.73360000000001,6.1009000000000055,5.447494307494102e-15,69.99997106977975,3.0543261834026474,-100.0,100.0,200.0
37,60,59,True,30,30,2,58,0,37,17029,-70.0,0.0,5.447494307494102e-15,70.0,3.141592653589793,-100.0,100.0,200.0
38,60,59,True,30,30,2,58,0,38,17030,-69.73360000000001,-6.1009000000000055,5.447494307494102e-15,69.99997106977975,-3.0543261834026474,-100.0,100.0,200.0
39,60,59,True,30,30,2,58,0,39,17031,-68.9364999999999,-12.15539999999999,5.447494307494102e-15,69.99996272434711,-2.967059234658265,-100.0,100.0,200.0
40,60,59,True,30,30,2,58,0,40,17032,-67.61479999999993,-18.117299999999993,5.447494307494102e-15,69.99998384521236,-2.8797936943360423,-100.0,100.0,200.0
41,60,59,True,30,30,2,58,0,41,17033,-65.77849999999992,-23.94139999999999,5.447494307494102e-15,70.0000121157846,-2.7925270187118003,-100.0,100.0,200.0
42,60,59,True,30,30,2,58,0,42,17034,-63.441499999999934,-29.583300000000005,5.447494307494102e-15,69.9999682938499,-2.7052597876764066,-100.0,100.0,200.0
43,60,59,True,30,30,2,58,0,43,17035,-60.62179999999992,-35.0,5.447494307494102e-15,70.00001882314027,-2.61799403324209,-100.0,100.0,200.0
44,60,59,True,30,30,2,58,0,44,17036,-57.3406,-40.1504,5.447494307494102e-15,69.9999930608568,-2.5307264834946865,-100.0,100.0,200.0
45,60,59,True,30,30,2,58,0,45,17037,-53.62309999999994,-44.99510000000005,5.447494307494102e-15,69.99997055442236,-2.4434612092264474,-100.0,100.0,200.0
46,60,59,True,30,30,2,58,0,46,17038,-49.49749999999996,-49.49749999999996,5.447494307494102e-15,70.00003580356221,-2.356194490192345,-100.0,100.0,200.0
